Permit Type,Total,Under Review,Approved,Rejected
Building Permit – New Construction,0,0,0,0
Building Permit – Renovation / Alteration,0,0,0,0
Building Permit – Addition / Extension,0,0,0,0
Demolition Permit,0,0,0,0
Zoning / Locational Clearance,0,0,0,0
Architectural Permit,0,0,0,0
Civil / Structural Permit,0,0,0,0
Electrical Permit,0,0,0,0
Mechanical Permit,0,0,0,0
Sanitary Permit,0,0,0,0
Plumbing Permit,0,0,0,0
Electronics Permit,0,0,0,0
Interior Design Permit,0,0,0,0
Fencing Permit,6,5,1,0
Sign Permit,0,0,0,0
Excavation Permit,0,0,0,0
FSEC for Building Permit (BFP),0,0,0,0
Certificate of Occupancy,0,0,0,0
FSIC for Occupancy Permit (BFP),0,0,0,0
