id,timestamp,eventType,description,user,tenant,module,ip,status,severity
45,"Sep 13, 2026, 10:19 PM",Staff Account Enabled,staff.account.enabled,administrator,System,User Management,127.0.0.1,Active,Info
44,"Sep 13, 2026, 10:19 PM",Staff Account Disabled,staff.account.disabled,administrator,System,User Management,127.0.0.1,Active,Info
40,"Sep 13, 2026, 10:07 PM",Requirements Replaced,requirements.replaced,staff,System,Applications,127.0.0.1,Active,Info
39,"Sep 13, 2026, 10:06 PM",Requirements Replaced,requirements.replaced,staff,System,Applications,127.0.0.1,Active,Info
38,"Sep 13, 2026, 10:05 PM",Requirements Replaced,requirements.replaced,staff,System,Applications,127.0.0.1,Active,Info
37,"Sep 13, 2026, 10:04 PM",Requirements Replaced,requirements.replaced,staff,System,Applications,127.0.0.1,Active,Info
36,"Sep 13, 2026, 10:01 PM",Assessment Submitted,assessment.submitted,system,System,Billing,127.0.0.1,Active,Info
35,"Sep 13, 2026, 10:01 PM",Assessment Line Changed,assessment.line-changed,system,System,Billing,127.0.0.1,Active,Info
34,"Sep 13, 2026, 10:00 PM",Assessment Drafted,assessment.drafted,system,System,Billing,127.0.0.1,Active,Info
33,"Sep 13, 2026, 9:59 PM",Fee Schedule Published,fee-schedule.published,system,System,Billing,127.0.0.1,Active,Info
30,"Sep 13, 2026, 9:46 PM",Payment Method Changed,payment-method.changed,system,System,Billing,127.0.0.1,Active,Info
29,"Sep 13, 2026, 9:46 PM",Fee Schedule Published,fee-schedule.published,system,System,Billing,127.0.0.1,Active,Info
26,"Sep 13, 2026, 9:15 PM",Evaluation Recorded,evaluation.recorded,system,Santos Sari-Sari Store,Applications,127.0.0.1,Active,Info
25,"Sep 13, 2026, 9:13 PM",Application Transitioned,application.transitioned,staff,Test Sari-Sari Store QA,Applications,127.0.0.1,Active,Info
21,"Sep 13, 2026, 9:06 PM",Application Filed On Behalf,application.filed-on-behalf,staff,Test Sari-Sari Store QA,Applications,127.0.0.1,Active,Info
16,"Sep 13, 2026, 8:15 PM",Evaluation Recorded,evaluation.recorded,system,Santos Sari-Sari Store,Applications,127.0.0.1,Active,Info
14,"Sep 13, 2026, 8:14 PM",Mfa Enrolled,mfa.enrolled,system,System,User Management,—,Active,Info
13,"Sep 13, 2026, 8:14 PM",Mfa Enrolment Started,mfa.enrolment-started,system,System,User Management,—,Active,Info
12,"Sep 13, 2026, 8:14 PM",Mfa Enrolled,mfa.enrolled,system,System,User Management,—,Active,Info
11,"Sep 13, 2026, 8:14 PM",Mfa Enrolment Started,mfa.enrolment-started,system,System,User Management,—,Active,Info
10,"Sep 13, 2026, 8:14 PM",Mfa Enrolled,mfa.enrolled,system,System,User Management,—,Active,Info
9,"Sep 13, 2026, 8:14 PM",Mfa Enrolment Started,mfa.enrolment-started,system,System,User Management,—,Active,Info
8,"Sep 13, 2026, 8:14 PM",Mfa Enrolled,mfa.enrolled,system,System,User Management,—,Active,Info
7,"Sep 13, 2026, 8:14 PM",Mfa Enrolment Started,mfa.enrolment-started,system,System,User Management,—,Active,Info
6,"Sep 13, 2026, 8:14 PM",Mfa Enrolled,mfa.enrolled,system,System,User Management,—,Active,Info
5,"Sep 13, 2026, 8:14 PM",Mfa Enrolment Started,mfa.enrolment-started,system,System,User Management,—,Active,Info
4,"Sep 13, 2026, 8:14 PM",Mfa Enrolled,mfa.enrolled,system,System,User Management,—,Active,Info
3,"Sep 13, 2026, 8:14 PM",Mfa Enrolment Started,mfa.enrolment-started,system,System,User Management,—,Active,Info
2,"Sep 13, 2026, 8:14 PM",Mfa Enrolled,mfa.enrolled,system,System,User Management,—,Active,Info
1,"Sep 13, 2026, 8:14 PM",Mfa Enrolment Started,mfa.enrolment-started,system,System,User Management,—,Active,Info
